,x_values,cascade_stop
0,3,0.3868642370845014
1,4,0.3847158719790986
2,5,0.37101910828025475
3,6,0.3569620253164557
4,7,0.35236220472440943
5,8,0.3515704154002026
6,9,0.303125
7,10,0.24439461883408073
8,11,0.228486646884273
9,12,0.17692307692307693
10,13,0.14953271028037382
11,14,0.0989010989010989
12,15,0.042682926829268296
13,16,0.03821656050955414
14,17,0.026490066225165563
15,18,0.02040816326530612
16,19,0.013888888888888888
17,20,0.028169014084507043
18,21,0.07971014492753623
19,22,0.13385826771653545
20,23,0.37272727272727274
21,24,0.3188405797101449
22,25,0.5106382978723404
23,26,0.43478260869565216
24,27,0.3076923076923077
25,28,0.2222222222222222
26,29,0.2857142857142857
27,30,0.2
28,31,0.25
29,32,0.0
30,33,0.0
31,34,0.0
32,35,0.0
33,36,0.0
34,37,0.0
35,38,0.0
36,39,0.0
37,40,0.0
38,41,0.3333333333333333
39,42,0.0
40,43,0.5
41,44,0.0
42,45,1.0
